GeneID	log2(FC)
FBgn0039759	0.714593160263577
FBgn0032026	0.30423485753641
FBgn0038608	-0.404751352279907
FBgn0261555	0.576140686073204
FBgn0035076	0.720055682896056
FBgn0013685	0.651008817698136
FBgn0029870	-0.288878501383261
FBgn0261261	-0.355535577278488
FBgn0027929	0.42082137437234
FBgn0026319	0.404509819973707
FBgn0265003	0.282040692366158
FBgn0002891	0.319990022860651
FBgn0033364	-0.5879150250135
FBgn0265706	-0.727425598892721
FBgn0000535	-0.528963800178767
FBgn0030026	0.47120706404617
FBgn0030361	0.531487450065098
FBgn0260450	0.379746713352473
FBgn0029504	-0.361417788137013
FBgn0261285	-0.408197889227889
FBgn0039797	-0.451501095914354
FBgn0025352	-0.291310663450086
FBgn0051125	0.714176277983844
FBgn0040660	-0.316861925831332
FBgn0063494	0.338378231130004
FBgn0036857	-0.370676185797236
FBti0063710	0.662851266696839
FBgn0038651	-0.282738395861792
FBgn0063491	0.377322182746788
FBgn0022702	0.558064434934021
FBgn0039525	0.409220873117468
FBgn0283531	-0.711385389637807
FBgn0033890	-0.359940632227705
FBgn0267470	0.655350062097431
FBgn0022213	0.271648604065999
FBgn0086370	-0.301176410706329
FBgn0261983	-0.302834487726423
FBgn0025693	-0.325792156230981
FBgn0035539	0.705184484476596
FBgn0004861	-0.389625050275529
FBgn0028717	-0.282325624306506
FBgn0000147	0.41598847003475
FBgn0265011	-0.648110884860259
FBgn0028491	0.513860832593971
FBgn0016694	-0.445901097996006
FBgn0052185	0.707053588131165
FBgn0023537	-0.328795053806298
FBgn0031399	-0.324076884796412
FBgn0262782	0.314488495378644
FBgn0041627	0.35670989756712
FBgn0001942	-0.265154020712703
FBgn0027620	-0.290368983981612
FBgn0037539	-0.370504195398547
FBgn0029861	0.341251359840674
FBgn0033717	-0.286736223996233
FBgn0034564	0.404821595587266
FBgn0035148	0.311185548321967
FBgn0036746	-0.388721105307508
FBgn0037672	0.544999131797372
FBgn0053460	-0.374629708383286
FBgn0029893	-0.329272949143785
FBgn0037917	-0.344991360126614
FBgn0034914	0.286164734057219
FBgn0039006	0.329831443669584
FBgn0031771	-0.284681725128171
FBgn0000578	-0.311889825206522
FBgn0030884	0.585666643769893
